वाह!	Wow!
मुश्किल क्या है?	Where is the problem?
मुश्किल कहाँ है?	Where is the problem?
तुम्हारे पिता कहाँ हैं?	Where is your father?
तुम रेलगाड़ी से जाओगे क्या?	Will you go by train?
तुम वह साबित नहीं कर सकते।	You can't prove that.
तुम आज खुश लगते हो।	You look happy today.
तुम्हारा कुत्ता बहुत बड़ा है।	Your dog is very big.
तुम्हारा कुत्ता बहुत मोटा है।	Your dog is very fat.
मैं तुम्हारी पेनसिल इस्तेमाल कर सकता हूँ क्या?	Can I use your pencil?
क्या यह अफ़वाह सच हो सकती है?	Can the rumor be true?
तुम राज़ रख सकते हो क्या?	Can you keep a secret?
तुमने मेरा कैमरा देखा क्या?	Did you see my camera?
क्या तुम भगवान में विश्वास करते हो?	Do you believe in God?
क्या आपको अपना नाप पता है?	Do you know your size?
क्या तुम्हें यह किताब पसंद है ?	Do you like this book?
वह अंग्रेज़ी बोलता है क्या?	Does he speak English?
निराश मत हो।	Don't be disappointed.
मोटी मुर्गियाँ कम अंडे देतीं हैं।	Fat hens lay few eggs.
घंटी बज चुकी है क्या?	Has the bell rung yet?
उसने हमारा प्रस्ताव स्वीकार कर लिया।	He accepted our offer.
वह पुलिस अफ़सर बन गया।	He became a policeman.
वह पुलिसवाला बन गया।	He became a policeman.
वह सीड़ियों पर चढ़ गया।	He climbed the stairs.
वो फ़र्निचर का व्यापार करता है।	He deals in furniture.
उसे बहुत सारा पैसा मिला।	He got a lot of money.
उसके पास थोड़े-बहुत पैसे हैं।	He has a little money.
वह बहुत पैसेवाला है।	He has a lot of money.
उसका निशाना बहुत अच्छा है।	He is a sharp-shooter.
वह गरीब है, पर खुश है।	He is poor, but happy.
वह लम्बा और ताकतवर है।	He is tall and strong.
वह हमको अच्छी तरह से जानता है।	He knows us very well.
वह दिखने में घोड़े की तरह लगता है।	He looks like a horse.
वे कम-से-कम साठ बरस के तो होंगे।	He must be over sixty.
